         387429 function calls (368993 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.035    0.035 css_parser.py:314(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
      311    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.007    0.007 selectors.py:1(<module>)
        1    0.000    0.000    0.074    0.074 css_parser.py:416(CSSParser)
      189    0.000    0.000    0.000    0.000 typing.py:1227(<genexpr>)
       70    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.001    0.001 typing.py:2832(__new__)
      244    0.000    0.000    0.000    0.000 enum.py:236(__set_name__)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.075    0.075 universaldetector.py:1(<module>)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.083    0.041 parser.py:1(<module>)
       14    0.000    0.000    0.031    0.002 css_parser.py:1126(process_selectors)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        6    0.000    0.000    0.000    0.000 enum.py:500(__prepare__)
        1    0.000    0.000    0.024    0.024 header.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       15    0.000    0.000    0.000    0.000 typing.py:2454(overload)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
       15    0.000    0.000    0.069    0.005 css_parser.py:294(__init__)
       44    0.000    0.000    0.000    0.000 enum.py:1381(_iter_member_by_value_)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1570(<genexpr>)
        1    0.000    0.000    0.036    0.036 _request_methods.py:1(<module>)
        1    0.000    0.000    0.139    0.139 compat.py:1(<module>)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
